Ticker,Company,Sector,Market Cap
AADI,Aadi Bioscience Inc. Common Stock,Health Care,77392811
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,11144941692
AAME,Atlantic American Corporation Common Stock,Finance,30905633
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,1383450050
AAON,AAON Inc. Common Stock,Industrials,10786619034
AAPL,Apple Inc. Common Stock,Technology,3.3675E+12
ABAT,American Battery Technology Company Common Stock,Basic Materials,105075553
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,228657618
ABL,Abacus Life Inc. Class A Common Stock,Finance,592202638
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,Finance,2060377177
ABLLW,Abacus Life Inc. Warrant,Finance,79906283
ABNB,Airbnb Inc. Class A Common Stock,Finance,80571455728
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,99131634
ABP,Abpro Holdings Inc Common Stock,Health Care,66459000
ABPWW,Abpro Holdings Inc. Warrant,Health Care,3225065
ABSI,Absci Corporation Common Stock,Health Care,459423036
ABVC,ABVC BioPharma Inc. Common Stock,Health Care,6793968
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,3106536605
ACCD,Accolade Inc. Common Stock,Consumer Discretionary,562124150
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,1361246117
ACET,Adicet Bio Inc. Common Stock ,Health Care,75957205
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,4103674851
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,102482039
ACIC,American Coastal Insurance Corporation Common Stock,Finance,595813330
ACIW,ACI Worldwide Inc. Common Stock,Technology,5474138226
ACLS,Axcelis Technologies Inc. Common Stock,Technology,2302082781
ACLX,Arcellx Inc. Common Stock,Health Care,3406433837
ACMR,ACM Research Inc. Class A Common Stock,Technology,1164877954
ACNB,ACNB Corporation Common Stock,Finance,339294926
ACNT,Ascent Industries Co. Common Stock,Industrials,112132852
ACON,Aclarion Inc. Common Stock,Health Care,572671
ACONW,Aclarion Inc. Warrant,Health Care,436022
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,179291664
ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care,169692813
ACT,Enact Holdings Inc. Common Stock,Finance,5099163565
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,423551518
ACTU,Actuate Therapeutics Inc. Common stock,Health Care,197464840
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary,3585818809
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,14723545
ADBE,Adobe Inc. Common Stock,Technology,1.89521E+11
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,Consumer Discretionary,903516
ADEA,Adeia Inc. Common Stock,Technology,1451038363
ADGM,Adagio Medical Holdings Inc Common Stock,Health Care,14680487
ADI,Analog Devices Inc. Common Stock,Technology,1.0788E+11
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,6265494
ADMA,ADMA Biologics Inc Common Stock,Health Care,3801155268
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Miscellaneous,14474429
ADNWW,Advent Technologies Holdings Inc. Warrant,Miscellaneous,41657
ADP,Automatic Data Processing Inc. Common Stock,Technology,1.21055E+11
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,1179160093
ADSK,Autodesk Inc. Common Stock,Technology,64678450000
ADTN,ADTRAN Holdings Inc. Common Stock,Utilities,817056592
ADTX,Aditxt Inc. Common Stock,Health Care,1669673
ADUS,Addus HomeCare Corporation Common Stock,Health Care,2368547481
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,849997435
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,93403059
ADVWW,Advantage Solutions Inc. Warrant,Consumer Discretionary,4650929
AEHR,Aehr Test Systems Common Stock,Industrials,368723488
AEI,Alset Inc. Common Stock (TX),Finance,8330077
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,4722695679
AEMD,Aethlon Medical Inc. Common Stock,Health Care,8844926
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary,261411308
AENTW,Alliance Entertainment Holding Corporation Warrants,Consumer Discretionary,10701048
AEP,American Electric Power Company Inc. Common Stock,Utilities,52287264590
AERT,Aeries Technology Inc. Class A Ordinary Share,Consumer Discretionary,35159787
AERTW,Aeries Technology Inc. Warrant,Consumer Discretionary,1023510
AEYE,AudioEye Inc. Common Stock,Technology,220302372
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,118309334
AFCG,Advanced Flower Capital Inc. Common Stock,Finance,178475264
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,,0
AFJKR,Aimei Health Technology Co. Ltd Right,,0
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance,17502346286
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Consumer Discretionary,44106014
AGEN,Agenus Inc. Common Stock,Health Care,83748377
AGFY,Agrify Corporation Common Stock,Consumer Staples,32046670
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,1965260520
AGNC,AGNC Investment Corp. Common Stock,Real Estate,8572993583
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,21733601502
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,22433256970
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,22929215276
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,22477538962
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,21937298663
AGYS,Agilysys Inc. Common Stock (DE),Technology,2579398253
AHCO,AdaptHealth Corp. Common Stock,Health Care,1389952003
AIEV,Thunder Power Holdings Inc. Common Stock,Consumer Discretionary,13797109
AIFF,Firefly Neuroscience Inc. Common Stock,Technology,31037282
AIMAU,Aimfinity Investment Corp. I Unit,Finance,0
AIMAW,Aimfinity Investment Corp. I Warrant,Finance,0
AIMBU,Aimfinity Investment Corp. I Subunit,Finance,0
AIMD,Ainos Inc. Common Stock,Health Care,11057222
AIMDW,Ainos Inc. Warrants,Health Care,1411560
AIOT,PowerFleet Inc. Common Stock,Telecommunications,839079837
AIP,Arteris Inc. Common Stock,Technology,483735812
AIRE,reAlpha Tech Corp. Common Stock,Finance,83932040
AIRG,Airgain Inc. Common Stock,Technology,91097451
AIRJ,AirJoule Technologies Corporation Class A Common Stock,Industrials,451212773
AIRJW,AirJoule Technologies Corporation Warrant,Industrials,65894935
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,295778471
AIRT,Air T Inc. Common Stock,Consumer Discretionary,54566129
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,47196804
AISP,Airship AI Holdings Inc. Class A Common Stock,Technology,134512659
AISPW,Airship AI Holdings Inc. Warrants,Technology,47745173
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,,0
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,,0
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,,0
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,14677176532
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,519271261
AKRO,Akero Therapeutics Inc. Common Stock,Health Care,1827341695
AKYA,Akoya BioSciences Inc. Common Stock,Industrials,152159595
ALAB,Astera Labs Inc. Common Stock,Technology,18327484064
ALBT,Avalon GloboCare Corp. Common Stock,Health Care,3917311
ALCE,Alternus Clean Energy Inc. Class A Common Stock,Utilities,0
ALCO,Alico Inc. Common Stock,,237312115
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Finance,0
ALCYU,Alchemy Investments Acquisition Corp 1 Units,Finance,0
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,,0
ALDFU,Aldel Financial II Inc. Units,Finance,0
ALDFW,Aldel Financial II Inc. Warrants,,0
